path,text,gender,age,tid
audio/73f3f0a27bdd4812a86d423752df5508.wav,үй,F,6,880955341
audio/c873d0fa2dda4e1d8fa2747840a16aeb.wav,қызыл қалам,F,6,437022506
audio/1aea38fa10c44d2b8f58b424c11c12f5.wav,мысық,M,3,861805370
audio/e966365db9074ac591acc459e91b1ab7.wav,бүлдіршін,F,4,903866601
audio/9c43b83de1894675a62b3d8e86863d34.wav,сары банан,F,9,744399526
audio/27c27036a80b4a4795ae0cc81bed4b97.wav,семей,F,4,493587583
audio/515539b5f40f488c83f2ae1d6906ee95.wav,жер,F,11,824861922
audio/66d6a8b389044206b5abdbf145b4910e.wav,кішкентай торғай,F,9,744399526
audio/8a4b4b63321d4fd7bcbb7bd7496cf010.wav,орман,M,3,445095942
audio/dd529000c4d9481498434e1fa5f19145.wav,алмұрт,F,6,880955341
audio/09bda9274f1a4950b5044ad25ce2dd56.wav,ала күшік,M,5,1370845092
audio/3e8aa2c2a94345f5b6fb70997a1a52b6.wav,бес,F,7,744399526
audio/8f2bc5fa775e4b2d9d3381ae685acd3c.wav,апа,M,3,187960820
audio/3e9b273795074b1a9bd1156a01de90e6.wav,ата,F,6,437022506
audio/8eb5b70adbcb489daef7ec3c58c47d2d.wav,алма,F,3,5430120672
audio/63a8658d4d5d462881e066b9e0086b9d.wav,шанышқы,F,6,114489766
audio/38292d2199bc491b814c344a912fc668.wav,дүкеннен таза су әкелді,F,7,744399526
audio/0c338f8e894f47679522a1f8ecf791c3.wav,қарағанды,M,3,445095942
audio/b940cc21df1443bfa54d8b133ab7c8a7.wav,қасқыр,M,5,744399526
audio/8b5a18e2cd30446599b4d78c471881e4.wav,жеміс жидек,F,5,744399526
audio/9a9e1ddbb3b44b76a51b062e14cc6aaf.wav,жиеншар,M,3,187960820
audio/3dfe536da25841aca8d893036a3e5c18.wav,әдемі қуыршақ,F,6,437022506
audio/f85f090e51f643e587375efc41ce5d6f.wav,қаражидек,M,5,744399526
audio/1bc6e4936c594ec4bee47e13cd1615f4.wav,итмұрын,F,9,744399526
audio/634879f531984a5389502b1d2108b0cb.wav,кішкентай торғай,F,6,437022506
audio/9220951050804bd89c9e2af089282a1c.wav,жиеншар,M,5,744399526
audio/ed34845490dd41a78d96f965b828f5c0.wav,ана,F,2,6449219476
audio/63a4aaaf625c4dada209f8307f2ddde8.wav,орам жапырақ,M,3,187960820
audio/4821ef6689a64ea6ab9d58db4887bb9e.wav,ата,F,6,880955341
audio/af51624c093149c79171f50e2b88d52b.wav,ата,M,3,187960820
audio/a59bb74a41ff4d66aee14b21ef8f1cb7.wav,орал қаласы,F,6,114489766
audio/01ce0003a28d490cae2ece36e21dc672.wav,семей,M,5,744399526
audio/c6f3becf899c4365b3d46e42c7128b0e.wav,орман,F,2,1104143660
audio/bfd2179390d54a34be63db085aec01dd.wav,сары банан,F,6,114489766
audio/475701ac2f8745fc9a63d10584e947ca.wav,орманда неше түрлі жидектер өседі,F,7,744399526
audio/d5743895ee5f42ed87da2fadd0490065.wav,жеміс жидек,F,9,744399526
audio/73ad842f6ed64589b6cc4414f5e38017.wav,қызылкүрең,F,6,437022506
audio/cb34ad11d26b4168bdfb1837bb9e0265.wav,қасқыр,F,7,744399526
audio/8adc4efbc3174bfa86b3bfebec398de8.wav,домалақ шар,F,6,880955341
audio/e0b9831d58b246afb1d9f72061b79d55.wav,ана,F,6,437022506
audio/97e1dfe1ede44835ad13573abb2d46e2.wav,күн,F,5,744399526
audio/6c216e0fed4642b7916aa1fb25de5aea.wav,қызылкүрең,F,9,744399526
audio/1124fe44368841d4a39c49f1bae075ca.wav,жұмсақ мысық,F,6,880955341
audio/86ad3618c1e34635a81d9eb27b8a07b2.wav,қобдиша,F,7,744399526
audio/e1bebe34fad74ee7a3b0d343e635e8a4.wav,орман,F,4,903866601
audio/1bd8b06fc241475aa3aa4133b0e10f44.wav,жұмсақ мысық,F,6,114489766
